Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:HE8,"Helios Energy Limited (ASX:HE8)",https://www.listcorp.com/asx/he8/helios-energy-limited,"	51815700",0.016,0.00,0,Energy
ASX:JBY,"James Bay Minerals Limited (ASX:JBY)",https://www.listcorp.com/asx/jby/james-bay-minerals-limited,"	51380500",0.715,0.00,0,Materials
ASX:DHOF,"Daintree Hybrid Opportunities Fund (Managed Fund) (ASX:DHOF)",https://www.listcorp.com/asx/dhof/daintree-hybrid-opportunities-fund-managed-fund,"	51358600",9.75,0.02,0.21,Unclassified
ASX:DOC,"Doctor Care Anywhere Group plc (ASX:DOC)",https://www.listcorp.com/asx/doc/doctor-care-anywhere-group-plc,"	51329900",0.14,0.00,0,"Health Care"
ASX:GOAT,"VanEck Morningstar International Wide Moat ETF (ASX:GOAT)",https://www.listcorp.com/asx/goat/vaneck-morningstar-international-wide-moat-etf,"	51288800",28.86,0.00,0,Unclassified
ASX:CRI,"Critica Limited (ASX:CRI)",https://www.listcorp.com/asx/cri/critica-limited,"	51265500",0.02,0.00,5.26,Materials
ASX:TEK,"Thorney Technologies Limited (ASX:TEK)",https://www.listcorp.com/asx/tek/thorney-technologies-limited,"	51007500",0.14,0.00,3.7,Energy
ASX:VHM,"VHM Limited (ASX:VHM)",https://www.listcorp.com/asx/vhm/vhm-limited,"	50714000",0.2,0.00,0,Materials
ASX:INCM,"BetaShares Global Income Leaders ETF (ASX:INCM)",https://www.listcorp.com/asx/incm/betashares-global-income-leaders-etf,"	50670500",19.28,-0.03,-0.16,Unclassified
ASX:MNS,"Magnis Energy Technologies Limited (ASX:MNS)",https://www.listcorp.com/asx/mns/magnis-energy-technologies-limited,"	50378900",0.042,0.00,0,Materials
ASX:TIP,"Teaminvest Private Group Limited (ASX:TIP)",https://www.listcorp.com/asx/tip/teaminvest-private-group-limited,"	50162300",1.85,0.00,0,Financials
ASX:TDO,"3D Energi Limited (ASX:TDO)",https://www.listcorp.com/asx/tdo/3d-energi-limited,"	50021000",0.15,0.00,0,Energy
ASX:ALR,"Altair Minerals Limited (ASX:ALR)",https://www.listcorp.com/asx/alr/altair-minerals-limited,"	50014200",0.012,0.00,9.09,Materials
ASX:MHOT,"VanEck Morningstar Wide Moat (AUD Hedged) ETF (ASX:MHOT)",https://www.listcorp.com/asx/mhot/vaneck-morningstar-wide-moat-aud-hedged-etf,"	49944000",132.89,0.00,0,Unclassified
ASX:VHL,"Vitasora Health Limited (ASX:VHL)",https://www.listcorp.com/asx/vhl/vitasora-health-limited,"	49837800",0.029,0.00,0,"Health Care"
ASX:AGC,"Australian Gold and Copper Ltd (ASX:AGC)",https://www.listcorp.com/asx/agc/australian-gold-and-copper-ltd,"	49798500",0.19,0.00,0,Materials
ASX:WTL,"WT Financial Group Limited (ASX:WTL)",https://www.listcorp.com/asx/wtl/wt-financial-group-limited,"	49616900",0.145,0.00,0,Financials
ASX:ADN,"Andromeda Metals Limited (ASX:ADN)",https://www.listcorp.com/asx/adn/andromeda-metals-limited,"	49616800",0.013,0.00,0,Materials
ASX:JAN,"Janison Education Group Limited (ASX:JAN)",https://www.listcorp.com/asx/jan/janison-education-group,"	49378800",0.195,0.00,2.63,"Information Technology"
ASX:AI1,"Adisyn Ltd (ASX:AI1)",https://www.listcorp.com/asx/ai1/adisyn-ltd,"	49240500",0.068,0.00,0,"Information Technology"
ASX:NXD,"NextEd Group Limited (ASX:NXD)",https://www.listcorp.com/asx/nxd/nexted-group-limited,"	48865500",0.22,0.00,0,"Consumer Discretionary"
ASX:AQD,"AusQuest Limited (ASX:AQD)",https://www.listcorp.com/asx/aqd/ausquest,"	48737300",0.035,0.00,0,Materials
ASX:CYP,"Cynata Therapeutics Limited (ASX:CYP)",https://www.listcorp.com/asx/cyp/cynata-therapeutics,"	48678100",0.21,0.01,2.44,"Health Care"
ASX:BCOM,"Global X Bloomberg Commodity ETF (Synthetic) (ASX:BCOM)",https://www.listcorp.com/asx/bcom/global-x-bloomberg-commodity-etf-synthetic,"	48115100",11.21,0.00,0,Unclassified
ASX:HLTH,"VanEck Global Healthcare Leaders ETF (ASX:HLTH)",https://www.listcorp.com/asx/hlth/vaneck-global-healthcare-leaders-etf,"	47871900",11.49,0.11,0.97,Unclassified
ASX:ISLM,"Hejaz Equities Fund (Managed Fund) (ASX:ISLM)",https://www.listcorp.com/asx/islm/hejaz-equities-fund-managed-fund,"	47353100",1.13,0.00,0,Unclassified
ASX:RPG,"Raptis Group Limited (ASX:RPG)",https://www.listcorp.com/asx/rpg/raptis-group-limited,"	47342500",0.135,0.00,0,"Real Estate"
ASX:PPK,"PPK Group Limited (ASX:PPK)",https://www.listcorp.com/asx/ppk/ppk-group,"	47222500",0.52,0.00,0,Materials
ASX:ELT,"Elementos Limited (ASX:ELT)",https://www.listcorp.com/asx/elt/elementos-limited,"	47215100",0.16,0.00,0,Materials
ASX:MKR,"Manuka Resources Limited (ASX:MKR)",https://www.listcorp.com/asx/mkr/manuka-resources-limited,"	46876900",0.045,0.00,2.27,Materials
ASX:WRLD,"BetaShares Managed Risk Global Share Fund (managed fund) (ASX:WRLD)",https://www.listcorp.com/asx/wrld/betashares-managed-risk-global-share-fund-managed-fund,"	46806600",21.81,0.00,0,Unclassified
ASX:PPL,"Pureprofile Limited (ASX:PPL)",https://www.listcorp.com/asx/ppl/pureprofile-limited,"	46767900",0.04,0.00,0,"Information Technology"
ASX:RDM,"Red Metal Limited (ASX:RDM)",https://www.listcorp.com/asx/rdm/red-metal-limited,"	46755500",0.13,0.00,0,Materials
ASX:MMA,"Maronan Metals Limited (ASX:MMA)",https://www.listcorp.com/asx/mma/maronan-metals-limited,"	46288200",0.23,0.00,0,Materials
ASX:FLX,"Felix Group Holdings Ltd (ASX:FLX)",https://www.listcorp.com/asx/flx/felix-group-holdings-ltd,"	46217400",0.225,0.00,0,"Information Technology"
ASX:TCF,"360 Capital Mortgage REIT (ASX:TCF)",https://www.listcorp.com/asx/tcf/360-capital-mortgage-reit,"	46166300",6.07,0.00,0,Financials
ASX:BML,"Boab Metals Limited (ASX:BML)",https://www.listcorp.com/asx/bml/boab-metals-limited,"	46072700",0.17,0.00,3.03,Materials
ASX:IMPQ,"eInvest Future Impact Small Caps Fund (ASX:IMPQ)",https://www.listcorp.com/asx/impq/einvest-future-impact-small-caps-fund,"	46054400",5.03,0.00,0,Unclassified
ASX:IBC,"Ironbark Capital Limited (ASX:IBC)",https://www.listcorp.com/asx/ibc/ironbark-capital-limited,"	46013800",0.445,0.01,1.14,Financials
ASX:TYP,"Tryptamine Therapeutics Limited (ASX:TYP)",https://www.listcorp.com/asx/typ/tryptamine-therapeutics-limited,"	45858400",0.031,-0.00,-6.06,"Health Care"
ASX:DVDY,"VanEck Morningstar Australian Moat Income ETF (ASX:DVDY)",https://www.listcorp.com/asx/dvdy/vaneck-morningstar-australian-moat-income-etf,"	45801400",23.74,0.00,0,Unclassified
ASX:RTH,"RAS Technology Holdings Limited (ASX:RTH)",https://www.listcorp.com/asx/rth/ras-technology-holdings-limited,"	45791200",0.95,-0.03,-3.06,Industrials
ASX:NSC,"NAOS Small Cap Opportunities Company (ASX:NSC)",https://www.listcorp.com/asx/nsc/naos-small-cap-opportunities-company,"	45736500",0.345,0.00,0,Financials
ASX:RWL,"Rubicon Water Limited (ASX:RWL)",https://www.listcorp.com/asx/rwl/rubicon-water-limited,"	45732100",0.19,0.00,0,"Information Technology"
ASX:IVR,"Investigator Resources Limited (ASX:IVR)",https://www.listcorp.com/asx/ivr/investigator-resources-limited,"	45050500",0.026,0.00,0,Materials
ASX:VIT,"Vitura Health Limited (ASX:VIT)",https://www.listcorp.com/asx/vit/vitura-health-limited,"	45033300",0.068,0.00,0,"Health Care"
ASX:AUN,"Aurumin Limited (ASX:AUN)",https://www.listcorp.com/asx/aun/aurumin-limited,"	45028800",0.09,0.00,0,Materials
ASX:BB1,"BlinkLab Limited (ASX:BB1)",https://www.listcorp.com/asx/bb1/blinklab-limited,"	44991000",0.515,0.00,0,"Health Care"
ASX:GHLD,"Global X Global Bullion (Currency Hedged) ETF (ASX:GHLD)",https://www.listcorp.com/asx/ghld/global-x-global-bullion-currency-hedged-etf,"	44869700",53.48,0.00,0,Unclassified
ASX:JREG,"JPMorgan Global Research Enhanced Index Equity Active ETF (Managed Fund) (ASX:JREG)",https://www.listcorp.com/asx/jreg/jpmorgan-global-research-enhanced-index-equity-active-etf-managed-fund,"	44814100",81.42,0.00,0,Unclassified
ASX:MEU,"Marmota Limited (ASX:MEU)",https://www.listcorp.com/asx/meu/marmota-limited,"	44775600",0.038,0.00,0,Energy
ASX:PTX,"Prescient Therapeutics Limited (ASX:PTX)",https://www.listcorp.com/asx/ptx/prescient-therapeutics-limited,"	44731400",0.043,0.00,0,"Health Care"
ASX:CTP,"Central Petroleum Limited (ASX:CTP)",https://www.listcorp.com/asx/ctp/central-petroleum-limited,"	44715500",0.06,0.00,0,Energy
ASX:IIQ,"INOVIQ Ltd (ASX:IIQ)",https://www.listcorp.com/asx/iiq/inoviq-ltd,"	44653100",0.4,0.00,0,"Health Care"
ASX:TVL,"Touch Ventures Limited (ASX:TVL)",https://www.listcorp.com/asx/tvl/touch-ventures-limited,"	44627800",0.063,0.00,0,Financials
ASX:MCP,"McPherson's Limited (ASX:MCP)",https://www.listcorp.com/asx/mcp/mcphersons-limited,"	44624200",0.295,-0.02,-4.84,"Consumer Staples"
ASX:DBF,"Duxton Farms Ltd (ASX:DBF)",https://www.listcorp.com/asx/dbf/duxton-farms-ltd,"	44507000",0.98,0.00,0,"Consumer Staples"
